open,high,low,close,volume,timestamp,ema10,ema20
79828.99,80104.56,79818.38,80091.01,0,2025-09-01 09:15:00+05:30,80091.01,80091.01
80094.34,80153.11,80094.34,80124.93,0,2025-09-01 09:18:00+05:30,80097.17727272726,80094.24047619048
80118.55,80154.66,80058.87,80154.13,0,2025-09-01 09:21:00+05:30,80107.53231404957,80099.94424036282
80155.04,80158.2,80122.16,80147.06,0,2025-09-01 09:24:00+05:30,80114.71916604057,80104.43145556636
80150.77,80156.39,80097.36,80140.67,0,2025-09-01 09:27:00+05:30,80119.43749948773,80107.88274551241
80139.39,80185.99,80123.46,80131.46,0,2025-09-01 09:30:00+05:30,80121.62340867177,80110.12819832076
80137.55,80191.8,80137.55,80173.32,0,2025-09-01 09:33:00+05:30,80131.02278891327,80116.14646514735
80174.8,80201.43,80169.04,80193.64,0,2025-09-01 09:36:00+05:30,80142.40773638358,80123.52680179998
80191.86,80206.09,80141.55,80162.96,0,2025-09-01 09:39:00+05:30,80146.14451158656,80127.28234448569
80164.19,80175.89,80147.56,80168.32,0,2025-09-01 09:42:00+05:30,80150.17641857082,80131.1906926299
80166.68,80201.71,80159.3,80191.9,0,2025-09-01 09:45:00+05:30,80157.76252428521,80136.97253142705
80192.66,80197.41,80146.47,80160.26,0,2025-09-01 09:48:00+05:30,80158.2166107788,80139.19038557685
80160.07,80221.62,80157.29,80221.62,0,2025-09-01 09:51:00+05:30,80169.7444997281,80147.04082504573
80221.62,80233.22,80178.29,80186.57,0,2025-09-01 09:54:00+05:30,80172.80368159572,80150.8055083747
80185.47,80203.09,80169.07,80188.52,0,2025-09-01 09:57:00+05:30,80175.66119403286,80154.39736471996
80189.57,80194.89,80170.31,80189.11,0,2025-09-01 10:00:00+05:30,80178.10643148143,80157.70332998472
80189.0,80189.0,80140.58,80149.0,0,2025-09-01 10:03:00+05:30,80172.81435303026,80156.87444141475
80148.0,80157.05,80128.64,80139.27,0,2025-09-01 10:06:00+05:30,80166.71537975203,80155.19782794667
80137.54,80160.9,80117.54,80131.41,0,2025-09-01 10:09:00+05:30,80160.2962197971,80152.93232052318
80133.42,80146.92,80108.74,80108.89,0,2025-09-01 10:12:00+05:30,80150.94963437945,80148.73781380669
80108.89,80142.3,80095.94,80128.63,0,2025-09-01 10:15:00+05:30,80146.89151903772,80146.82278392033
80128.63,80132.78,80075.12,80091.11,0,2025-09-01 10:18:00+05:30,80136.74942466721,80141.51680449935
80092.63,80094.3,80039.89,80054.47,0,2025-09-01 10:21:00+05:30,80121.78952927317,80133.22663264227
80053.18,80102.59,80042.28,80085.35,0,2025-09-01 10:24:00+05:30,80115.16416031441,80128.66695334301
80085.35,80135.16,80085.0,80122.53,0,2025-09-01 10:27:00+05:30,80116.5034038936,80128.08248159607
80122.28,80126.88,80065.46,80078.77,0,2025-09-01 10:30:00+05:30,80109.64278500385,80123.38605477738
80071.13,80079.92,80059.27,80065.45,0,2025-09-01 10:33:00+05:30,80101.60773318497,80117.86833527478
80066.45,80076.33,80045.31,80069.13,0,2025-09-01 10:36:00+05:30,80095.7026907877,80113.22658905813
80073.06,80082.69,80055.94,80078.9,0,2025-09-01 10:39:00+05:30,80092.64765609903,80109.95739010023
80080.05,80114.06,80067.09,80112.5,0,2025-09-01 10:42:00+05:30,80096.25717317192,80110.19954342402
80111.6,80163.25,80109.42,80149.19,0,2025-09-01 10:45:00+05:30,80105.88132350429,80113.9129202408
80149.19,80149.19,80121.0,80144.74,0,2025-09-01 10:48:00+05:30,80112.94653741259,80116.84883259881
80147.62,80150.72,80116.89,80116.89,0,2025-09-01 10:51:00+05:30,80113.6635306103,80116.85275330368
80112.48,80122.92,80087.93,80121.58,0,2025-09-01 10:54:00+05:30,80115.10288868114,80117.30296727477
80121.77,80167.65,80121.46,80159.59,0,2025-09-01 10:57:00+05:30,80123.19145437548,80121.3303037248
80161.39,80189.25,80157.13,80172.58,0,2025-09-01 11:00:00+05:30,80132.17118994358,80126.21122717958
80173.67,80185.21,80165.03,80180.35,0,2025-09-01 11:03:00+05:30,80140.93097359019,80131.36730078152
80174.14,80174.68,80140.74,80142.38,0,2025-09-01 11:06:00+05:30,80141.19443293742,80132.41612927851
80144.01,80176.52,80142.11,80161.54,0,2025-09-01 11:09:00+05:30,80144.89362694879,80135.18983125199
80161.54,80177.23,80156.16,80171.0,0,2025-09-01 11:12:00+05:30,80149.64024023083,80138.6003235137
80171.0,80173.66,80145.86,80165.56,0,2025-09-01 11:15:00+05:30,80152.53474200705,80141.1679117505
80166.78,80166.97,80150.39,80161.62,0,2025-09-01 11:18:00+05:30,80154.18660709666,80143.11572967902
80161.83,80163.32,80132.96,80150.85,0,2025-09-01 11:21:00+05:30,80153.57995126091,80143.85232685244
80151.74,80161.53,80134.62,80147.69,0,2025-09-01 11:24:00+05:30,80152.50905103164,80144.21781953317
80147.24,80177.04,80147.0,80170.52,0,2025-09-01 11:27:00+05:30,80155.78376902587,80146.72278910143
80174.38,80183.51,80153.27,80158.64,0,2025-09-01 11:30:00+05:30,80156.30308374844,80147.85776156797
80157.94,80176.42,80098.84,80160.53,0,2025-09-01 11:33:00+05:30,80157.07161397599,80149.06464141863
80160.3,80172.73,80146.78,80147.62,0,2025-09-01 11:36:00+05:30,80155.35313870762,80148.92705652161
80146.42,80157.18,80138.85,80151.65,0,2025-09-01 11:39:00+05:30,80154.67984076077,80149.18638447193
80148.32,80151.95,80121.15,80123.06,0,2025-09-01 11:42:00+05:30,80148.93077880426,80146.69815737937
80121.74,80136.3,80092.81,80092.81,0,2025-09-01 11:45:00+05:30,80138.72700083985,80141.56595191467
80092.16,80100.24,80071.3,80083.74,0,2025-09-01 11:48:00+05:30,80128.72936432352,80136.058718399
80083.03,80093.92,80062.8,80076.41,0,2025-09-01 11:51:00+05:30,80119.21675262833,80130.37788807528
80077.85,80084.21,80060.45,80064.5,0,2025-09-01 11:54:00+05:30,80109.26825215045,80124.10380349668
80063.59,80087.33,80061.41,80069.96,0,2025-09-01 11:57:00+05:30,80102.12129721399,80118.94725078272
80069.96,80128.84,80062.84,80122.32,0,2025-09-01 12:00:00+05:30,80105.79378862963,80119.26846499389
80122.32,80125.58,80099.58,80116.73,0,2025-09-01 12:03:00+05:30,80107.78219069696,80119.02670642304
80112.79,80140.61,80107.23,80133.69,0,2025-09-01 12:06:00+05:30,80112.49270147934,80120.42321057322
80135.54,80145.84,80110.89,80138.43,0,2025-09-01 12:09:00+05:30,80117.20857393763,80122.13814289958
80134.97,80152.29,80126.09,80147.47,0,2025-09-01 12:12:00+05:30,80122.71065140351,80124.55070071867
80146.94,80172.32,80138.73,80149.41,0,2025-09-01 12:15:00+05:30,80127.56507842104,80126.91825303118
80149.41,80161.61,80135.31,80140.45,0,2025-09-01 12:18:00+05:30,80129.9077914354,80128.20699083773
80140.8,80171.49,80140.41,80170.96,0,2025-09-01 12:21:00+05:30,80137.37182935623,80132.27870599605
80169.68,80207.3,80165.55,80196.84,0,2025-09-01 12:24:00+05:30,80148.18422401873,80138.4274006631
80201.45,80247.58,80201.45,80247.58,0,2025-09-01 12:27:00+05:30,80166.25618328803,80148.82288631423
80248.71,80254.51,80214.71,80215.99,0,2025-09-01 12:30:00+05:30,80175.29869541747,80155.2197542843
80215.61,80238.19,80212.65,80222.88,0,2025-09-01 12:33:00+05:30,80183.9498417052,80161.66358720961
80222.48,80246.23,80195.28,80246.23,0,2025-09-01 12:36:00+05:30,80195.2735068497,80169.71753128488
80247.33,80247.69,80214.79,80235.09,0,2025-09-01 12:39:00+05:30,80202.51286924066,80175.94348068633
80235.09,80241.32,80202.44,80210.3,0,2025-09-01 12:42:00+05:30,80203.9287111969,80179.21553014478
80210.3,80218.39,80196.4,80217.64,0,2025-09-01 12:45:00+05:30,80206.42167279746,80182.87500346433
80218.41,80227.49,80193.1,80193.1,0,2025-09-01 12:48:00+05:30,80203.99955047065,80183.8488126582
80194.59,80222.02,80185.29,80222.02,0,2025-09-01 12:51:00+05:30,80207.27599583962,80187.48416383361
80222.12,80227.62,80178.55,80183.59,0,2025-09-01 12:54:00+05:30,80202.9694511415,80187.11329108755
80182.6,80221.04,80182.12,80220.95,0,2025-09-01 12:57:00+05:30,80206.23864184304,80190.3358347935
80219.84,80242.09,80213.35,80218.21,0,2025-09-01 13:00:00+05:30,80208.41525241702,80192.99051719412
80221.18,80263.13,80221.18,80258.49,0,2025-09-01 13:03:00+05:30,80217.51975197755,80199.22856317564
80255.44,80286.02,80253.08,80286.02,0,2025-09-01 13:06:00+05:30,80229.97434252707,80207.49441430178
80286.63,80303.85,80285.49,80286.72,0,2025-09-01 13:09:00+05:30,80240.29173479487,80215.0397081778
80286.72,80299.62,80274.83,80299.27,0,2025-09-01 13:12:00+05:30,80251.01505574126,80223.0616407323
80299.27,80311.79,80293.95,80297.65,0,2025-09-01 13:15:00+05:30,80259.49413651557,80230.16529399589
80297.65,80312.19,80292.24,80304.29,0,2025-09-01 13:18:00+05:30,80267.63883896728,80237.2247898058
80303.91,80321.21,80293.23,80300.34,0,2025-09-01 13:21:00+05:30,80273.58450460958,80243.23576220524
80301.48,80305.06,80271.54,80278.31,0,2025-09-01 13:24:00+05:30,80274.44368558965,80246.57616580474
80277.74,80304.31,80264.15,80301.0,0,2025-09-01 13:27:00+05:30,80279.27210639154,80251.75938810906
80301.0,80327.22,80290.31,80321.86,0,2025-09-01 13:30:00+05:30,80287.01535977489,80258.43563686058
80321.9,80339.95,80311.57,80324.45,0,2025-09-01 13:33:00+05:30,80293.82165799763,80264.72271906433
80323.47,80332.53,80303.42,80320.13,0,2025-09-01 13:36:00+05:30,80298.60499290715,80269.99960296297
80319.88,80331.1,80295.29,80295.29,0,2025-09-01 13:39:00+05:30,80298.00226692401,80272.40821220458
80295.01,80307.88,80281.3,80298.58,0,2025-09-01 13:42:00+05:30,80298.10730930146,80274.9007634232
80302.56,80313.69,80283.81,80295.49,0,2025-09-01 13:45:00+05:30,80297.631434883,80276.86164309719
80296.28,80307.23,80285.18,80307.23,0,2025-09-01 13:48:00+05:30,80299.37662854063,80279.75386756411
80306.24,80322.78,80286.08,80295.34,0,2025-09-01 13:51:00+05:30,80298.64269607869,80281.23826112943
80293.77,80321.62,80290.82,80321.62,0,2025-09-01 13:54:00+05:30,80302.82038770075,80285.08414102187
80320.18,80323.83,80288.27,80300.43,0,2025-09-01 13:57:00+05:30,80302.38577175516,80286.54565140074
80300.52,80323.65,80300.52,80307.17,0,2025-09-01 14:00:00+05:30,80303.25563143603,80288.50987507685
80307.17,80334.72,80296.97,80329.69,0,2025-09-01 14:03:00+05:30,80308.06188026583,80292.4317917362
80330.58,80333.07,80316.98,80332.35,0,2025-09-01 14:06:00+05:30,80312.47790203568,80296.23352585656
80332.35,80346.19,80327.9,80337.26,0,2025-09-01 14:09:00+05:30,80316.98373802919,80300.14080910831
80337.26,80364.58,80327.2,80362.78,0,2025-09-01 14:12:00+05:30,80325.31033111479,80306.1064463361
80363.18,80364.46,80326.14,80333.52,0,2025-09-01 14:15:00+05:30,80326.80299818482,80308.71726097075
80333.56,80340.82,80321.3,80340.26,0,2025-09-01 14:18:00+05:30,80329.24972578758,80311.72133135449
80337.33,80342.25,80313.83,80330.61,0,2025-09-01 14:21:00+05:30,80329.49704837166,80313.52025217787
80329.04,80339.42,80311.99,80316.05,0,2025-09-01 14:24:00+05:30,80327.0521304859,80313.76118054189
80315.46,80324.32,80292.22,80294.33,0,2025-09-01 14:27:00+05:30,80321.10265221572,80311.91059191884
80292.88,80321.87,80292.88,80310.66,0,2025-09-01 14:30:00+05:30,80319.2039881765,80311.79148792657
80311.23,80357.55,80309.82,80341.89,0,2025-09-01 14:33:00+05:30,80323.32871759894,80314.65801288595
80337.87,80349.35,80332.46,80336.19,0,2025-09-01 14:36:00+05:30,80325.66713258094,80316.70867832538
80338.34,80366.89,80333.23,80360.99,0,2025-09-01 14:39:00+05:30,80332.08947211168,80320.9259470563
80361.05,80374.19,80325.28,80339.77,0,2025-09-01 14:42:00+05:30,80333.48593172773,80322.72061876522
80338.46,80348.92,80333.2,80341.18,0,2025-09-01 14:45:00+05:30,80334.88485323178,80324.4786550733
80341.82,80351.33,80332.43,80343.01,0,2025-09-01 14:48:00+05:30,80336.36215264417,80326.24354506632
80343.79,80351.91,80332.1,80347.35,0,2025-09-01 14:51:00+05:30,80338.35994307249,80328.25368363144
80347.74,80361.94,80336.61,80350.12,0,2025-09-01 14:54:00+05:30,80340.49813524113,80330.33618995226
80350.01,80392.35,80348.92,80389.29,0,2025-09-01 14:57:00+05:30,80349.36938337909,80335.95083852822
80389.29,80406.84,80344.29,80347.99,0,2025-09-01 15:00:00+05:30,80349.11858640108,80337.09742533506
80350.28,80386.3,80333.38,80383.65,0,2025-09-01 15:03:00+05:30,80355.39702523724,80341.53100387458
80384.27,80385.66,80365.09,80372.4,0,2025-09-01 15:06:00+05:30,80358.4884751941,80344.47090826747
80369.09,80389.34,80360.41,80387.02,0,2025-09-01 15:09:00+05:30,80363.67602515881,80348.52320271818
80387.42,80392.96,80355.92,80368.48,0,2025-09-01 15:12:00+05:30,80364.54947512994,80350.42385007835
80366.54,80377.8,80347.77,80377.8,0,2025-09-01 15:15:00+05:30,80366.95866146995,80353.03110245185
80378.44,80388.11,80359.52,80384.58,0,2025-09-01 15:18:00+05:30,80370.16254120269,80356.03575936118
80385.04,80385.34,80352.83,80361.22,0,2025-09-01 15:21:00+05:30,80368.53662462038,80356.52949656488
80362.18,80387.79,80350.89,80350.89,0,2025-09-01 15:24:00+05:30,80365.32814741667,80355.99240165394
80353.48,80385.71,80346.89,80376.71,0,2025-09-01 15:27:00+05:30,80367.39757515909,80357.96550625833
