timestamp,date,open,high,low,close,volume,ema10,ema20
2025-09-04 09:15:00+05:30,2025-09-04 09:15:00+05:30,293.1,312.6,264.2,285.25,2800,285.25,285.25
2025-09-04 09:18:00+05:30,2025-09-04 09:18:00+05:30,286.15,294.3,264.25,285.0,3960,285.20454545454544,285.2261904761905
2025-09-04 09:21:00+05:30,2025-09-04 09:21:00+05:30,285.0,289.95,260.0,265.25,2480,281.5764462809917,283.3236961451247
2025-09-04 09:24:00+05:30,2025-09-04 09:24:00+05:30,265.25,276.9,257.75,260.35,5360,277.7170924117205,281.1357250836843
2025-09-04 09:27:00+05:30,2025-09-04 09:27:00+05:30,260.35,262.05,228.0,232.1,6520,269.4230756095895,276.4656560280953
2025-09-04 09:30:00+05:30,2025-09-04 09:30:00+05:30,232.1,232.1,210.2,210.9,2660,258.78251640784595,270.22130783494333
2025-09-04 09:33:00+05:30,2025-09-04 09:33:00+05:30,210.9,213.55,198.05,201.5,2740,248.3675134246012,263.6764213744725
2025-09-04 09:36:00+05:30,2025-09-04 09:36:00+05:30,201.5,219.7,200.8,218.0,2440,242.84614734740097,259.32628600547514
2025-09-04 09:39:00+05:30,2025-09-04 09:39:00+05:30,218.0,241.4,213.45,220.05,3780,238.70139328423716,255.58568733828704
2025-09-04 09:42:00+05:30,2025-09-04 09:42:00+05:30,220.05,249.35,220.05,249.35,3200,240.63750359619402,254.9918123536883
2025-09-04 09:45:00+05:30,2025-09-04 09:45:00+05:30,249.35,256.2,232.0,232.0,6860,239.067048396886,252.8021159390513
2025-09-04 09:48:00+05:30,2025-09-04 09:48:00+05:30,232.0,235.15,219.95,224.6,1640,236.43667596108855,250.11620013533215
2025-09-04 09:51:00+05:30,2025-09-04 09:51:00+05:30,224.6,233.05,222.45,225.5,2040,234.4481894227088,247.77180012244338
2025-09-04 09:54:00+05:30,2025-09-04 09:54:00+05:30,225.5,228.5,220.0,226.05,900,232.92124589130717,245.70305725363926
2025-09-04 09:57:00+05:30,2025-09-04 09:57:00+05:30,226.05,229.45,218.25,226.05,2800,231.67192845652403,243.83133751519745
2025-09-04 10:00:00+05:30,2025-09-04 10:00:00+05:30,226.05,234.45,220.9,232.45,1200,231.81339600988326,242.7474006089882
2025-09-04 10:03:00+05:30,2025-09-04 10:03:00+05:30,232.45,237.1,227.7,237.1,1140,232.774596735359,242.2095529319417
2025-09-04 10:06:00+05:30,2025-09-04 10:06:00+05:30,237.1,241.6,232.15,241.0,2100,234.27012460165736,242.0943574146139
2025-09-04 10:09:00+05:30,2025-09-04 10:09:00+05:30,241.0,285.0,240.95,277.0,4780,242.03919285590146,245.4187043275078
2025-09-04 10:12:00+05:30,2025-09-04 10:12:00+05:30,277.0,318.5,275.55,318.5,7000,255.9411577911921,252.37882772488803
2025-09-04 10:15:00+05:30,2025-09-04 10:15:00+05:30,318.5,326.25,294.0,308.95,7260,265.5791291018844,257.76655841775585
2025-09-04 10:18:00+05:30,2025-09-04 10:18:00+05:30,308.95,310.5,280.15,287.05,4480,269.4829238106327,260.5554576160648
2025-09-04 10:21:00+05:30,2025-09-04 10:21:00+05:30,287.05,287.05,260.05,266.7,960,268.97693766324494,261.14065212882053
2025-09-04 10:24:00+05:30,2025-09-04 10:24:00+05:30,266.7,292.85,261.35,292.85,1740,273.31749445174586,264.16059002131385
2025-09-04 10:27:00+05:30,2025-09-04 10:27:00+05:30,292.85,299.95,288.25,297.2,2040,277.65976818779205,267.30720049547443
2025-09-04 10:30:00+05:30,2025-09-04 10:30:00+05:30,297.2,311.35,290.5,308.05,1340,283.1852648809208,271.18746711495305
2025-09-04 10:33:00+05:30,2025-09-04 10:33:00+05:30,308.05,308.6,283.8,297.2,1280,285.7333985389352,273.66485119924323
2025-09-04 10:36:00+05:30,2025-09-04 10:36:00+05:30,297.2,314.7,295.0,313.5,2420,290.78187153185604,277.4586748945534
2025-09-04 10:39:00+05:30,2025-09-04 10:39:00+05:30,313.5,353.85,303.9,353.85,4540,302.24880398060947,284.7340391903102
2025-09-04 10:42:00+05:30,2025-09-04 10:42:00+05:30,351.35,364.2,334.4,335.9,3860,308.3672032568623,289.6069878388521
2025-09-04 10:45:00+05:30,2025-09-04 10:45:00+05:30,335.9,347.2,327.5,329.3,2120,312.17316630106916,293.3872747113424
2025-09-04 10:48:00+05:30,2025-09-04 10:48:00+05:30,329.3,333.0,304.05,311.2,3160,311.996226973602,295.0837247388336
2025-09-04 10:51:00+05:30,2025-09-04 10:51:00+05:30,311.2,313.4,299.0,309.4,1560,311.5241857056743,296.4471795256113
2025-09-04 10:54:00+05:30,2025-09-04 10:54:00+05:30,309.4,322.95,307.0,322.15,2000,313.4561519410062,298.8950671898388
2025-09-04 10:57:00+05:30,2025-09-04 10:57:00+05:30,322.15,324.55,304.4,307.0,2240,312.28230613355055,299.6669655527113
2025-09-04 11:00:00+05:30,2025-09-04 11:00:00+05:30,307.0,307.0,284.05,299.4,3100,309.9400686547231,299.6415402619769
2025-09-04 11:03:00+05:30,2025-09-04 11:03:00+05:30,299.4,310.05,293.55,298.15,1140,307.7964198084098,299.4994888084553
2025-09-04 11:06:00+05:30,2025-09-04 11:06:00+05:30,298.15,328.0,296.15,328.0,1620,311.4697980250625,302.21382320765
2025-09-04 11:09:00+05:30,2025-09-04 11:09:00+05:30,328.0,329.45,311.25,312.9,2160,311.7298347477784,303.231554330731
2025-09-04 11:12:00+05:30,2025-09-04 11:12:00+05:30,312.9,325.0,312.9,325.0,720,314.14259206636416,305.30473963256617
2025-09-04 11:15:00+05:30,2025-09-04 11:15:00+05:30,325.0,325.0,314.9,319.65,1300,315.14393896338885,306.6709549056551
2025-09-04 11:18:00+05:30,2025-09-04 11:18:00+05:30,322.45,323.3,304.05,318.0,980,315.6632227882272,307.749911581307
2025-09-04 11:21:00+05:30,2025-09-04 11:21:00+05:30,318.0,339.4,317.7,339.4,4000,319.9790004630949,310.76420571642063
2025-09-04 11:24:00+05:30,2025-09-04 11:24:00+05:30,339.4,343.3,327.2,334.75,3200,322.6646367425322,313.0485670767615
